 100. 1662900.0
 150. 424150.0
 200. 155460.0
 250. 69833.0
 300. 35628.0
 350. 19920.0
 400. 11885.0
 450. 7465.5
 500. 4868.7
 550. 3282.2
 600. 2260.6
 650. 1592.1
 700. 1140.0
 750. 833.02
 800. 614.26
 850. 458.39
 900. 344.48
 950. 261.08
1000. 199.34
1050. 153.2
1100. 118.63
1150. 92.007
1200. 71.539
1250. 56.052
1300. 43.818
1350. 34.502
1400. 27.2
1450. 21.453
1500. 16.975
1550. 13.465
1600. 10.673
1650. 8.4713
1700. 6.7391
1750. 5.3511
1800. 4.2649
1850. 3.3954
1900. 2.7057
1950. 2.1549
2000. 1.7216
2050. 1.3687
2100. 1.0951 
2150. 0.87217
2200. 0.69731
2250. 0.55718
2300. 0.44381
2350. 0.35535
2400. 0.284
2450. 0.22665
2500. 0.18134
2550. 0.14477
2600. 0.11615
2650. 0.093021
2700. 0.074258
2750. 0.059675
2800. 0.047804
2850. 0.038409
2900. 0.030859
2950. 0.024856
3000. 0.020029
